"id_vendas","id_veiculos","id_concessionarias","id_vendedores","id_clientes","valor_pago","data_venda","data_inclusao","data_atualizacao"
261969,2,7,47,260682,"340938.48","2025-12-27 20:40:01.383164+00","2025-12-27 20:40:01.383164+00","2025-12-27 20:40:01.383164+00"
261459,5,28,9,260172,"314394.99","2025-12-26 02:10:01.655978+00","2025-12-26 02:10:01.655978+00","2025-12-26 02:10:01.655978+00"
261533,8,5,18,260246,"294726.69","2025-12-26 08:20:01.433337+00","2025-12-26 08:20:01.433337+00","2025-12-26 08:20:01.433337+00"
261607,1,2,46,260320,"245675.10","2025-12-26 14:30:01.205631+00","2025-12-26 14:30:01.205631+00","2025-12-26 14:30:01.205631+00"
261681,2,7,47,260394,"333009.95","2025-12-26 20:40:01.248429+00","2025-12-26 20:40:01.248429+00","2025-12-26 20:40:01.248429+00"
261748,4,25,1,260461,"270290.32","2025-12-27 02:15:01.889261+00","2025-12-27 02:15:01.889261+00","2025-12-27 02:15:01.889261+00"
262037,7,5,19,260749,"387504.13","2025-12-28 02:15:01.61072+00","2025-12-28 02:15:01.61072+00","2025-12-28 02:15:01.61072+00"
262111,2,23,31,260823,"335283.40","2025-12-28 08:25:01.998834+00","2025-12-28 08:25:01.998834+00","2025-12-28 08:25:01.998834+00"
262185,3,28,9,260897,"477963.49","2025-12-28 14:35:02.011264+00","2025-12-28 14:35:02.011264+00","2025-12-28 14:35:02.011264+00"
262259,1,13,13,260971,"243720.65","2025-12-28 20:45:02.036276+00","2025-12-28 20:45:02.036276+00","2025-12-28 20:45:02.036276+00"
262325,6,9,37,261037,"772667.54","2025-12-29 02:15:01.944764+00","2025-12-29 02:15:01.944764+00","2025-12-29 02:15:01.944764+00"
262399,4,13,14,261111,"268373.92","2025-12-29 08:25:01.228553+00","2025-12-29 08:25:01.228553+00","2025-12-29 08:25:01.228553+00"
262473,8,16,22,261184,"292849.99","2025-12-29 14:30:01.549756+00","2025-12-29 14:30:01.549756+00","2025-12-29 14:30:01.549756+00"
262547,1,25,1,261258,"239446.88","2025-12-29 20:40:01.857394+00","2025-12-29 20:40:01.857394+00","2025-12-29 20:40:01.857394+00"
262614,8,11,36,261325,"287333.68","2025-12-30 02:15:01.410274+00","2025-12-30 02:15:01.410274+00","2025-12-30 02:15:01.410274+00"
262688,7,1,33,261399,"382102.10","2025-12-30 08:25:02.124006+00","2025-12-30 08:25:02.124006+00","2025-12-30 08:25:02.124006+00"
262762,8,25,5,261473,"285950.84","2025-12-30 14:35:01.301943+00","2025-12-30 14:35:01.301943+00","2025-12-30 14:35:01.301943+00"
261822,3,7,47,260535,"489330.37","2025-12-27 08:25:01.89087+00","2025-12-27 08:25:01.89087+00","2025-12-27 08:25:01.89087+00"
261896,2,13,15,260609,"336967.85","2025-12-27 14:35:01.381144+00","2025-12-27 14:35:01.381144+00","2025-12-27 14:35:01.381144+00"
261970,8,26,39,260683,"289602.76","2025-12-27 20:45:01.551411+00","2025-12-27 20:45:01.551411+00","2025-12-27 20:45:01.551411+00"
261460,5,2,46,260173,"316556.40","2025-12-26 02:15:01.795908+00","2025-12-26 02:15:01.795908+00","2025-12-26 02:15:01.795908+00"
261534,1,25,3,260247,"247462.09","2025-12-26 08:25:01.582429+00","2025-12-26 08:25:01.582429+00","2025-12-26 08:25:01.582429+00"
261608,4,14,45,260321,"269949.80","2025-12-26 14:35:01.334543+00","2025-12-26 14:35:01.334543+00","2025-12-26 14:35:01.334543+00"
261682,3,5,17,260395,"482106.37","2025-12-26 20:45:01.398696+00","2025-12-26 20:45:01.398696+00","2025-12-26 20:45:01.398696+00"
261749,7,29,42,260462,"393360.79","2025-12-27 02:20:02.054433+00","2025-12-27 02:20:02.054433+00","2025-12-27 02:20:02.054433+00"
262038,4,22,35,260750,"269628.41","2025-12-28 02:20:01.745336+00","2025-12-28 02:20:01.745336+00","2025-12-28 02:20:01.745336+00"
262112,2,6,29,260824,"341329.01","2025-12-28 08:30:01.134241+00","2025-12-28 08:30:01.134241+00","2025-12-28 08:30:01.134241+00"
262186,7,29,42,260898,"389042.64","2025-12-28 14:40:01.127086+00","2025-12-28 14:40:01.127086+00","2025-12-28 14:40:01.127086+00"
262260,2,29,42,260972,"343416.78","2025-12-28 20:50:01.169583+00","2025-12-28 20:50:01.169583+00","2025-12-28 20:50:01.169583+00"
262326,3,19,40,261038,"486591.34","2025-12-29 02:20:02.12012+00","2025-12-29 02:20:02.12012+00","2025-12-29 02:20:02.12012+00"
262400,5,21,41,261112,"313480.60","2025-12-29 08:30:01.367405+00","2025-12-29 08:30:01.367405+00","2025-12-29 08:30:01.367405+00"
262474,8,19,40,261185,"285317.54","2025-12-29 14:35:01.492012+00","2025-12-29 14:35:01.492012+00","2025-12-29 14:35:01.492012+00"
262548,2,28,10,261259,"343655.61","2025-12-29 20:45:02.161653+00","2025-12-29 20:45:02.161653+00","2025-12-29 20:45:02.161653+00"
262615,4,22,35,261326,"275698.53","2025-12-30 02:20:01.567011+00","2025-12-30 02:20:01.567011+00","2025-12-30 02:20:01.567011+00"
262689,1,27,52,261400,"246859.60","2025-12-30 08:30:01.265106+00","2025-12-30 08:30:01.265106+00","2025-12-30 08:30:01.265106+00"
262763,3,6,28,261474,"487606.25","2025-12-30 14:40:01.440051+00","2025-12-30 14:40:01.440051+00","2025-12-30 14:40:01.440051+00"
261823,2,2,46,260536,"335082.70","2025-12-27 08:30:02.07588+00","2025-12-27 08:30:02.07588+00","2025-12-27 08:30:02.07588+00"
261897,2,9,37,260610,"342264.59","2025-12-27 14:40:01.516866+00","2025-12-27 14:40:01.516866+00","2025-12-27 14:40:01.516866+00"
261971,1,26,39,260684,"241415.61","2025-12-27 20:50:01.690594+00","2025-12-27 20:50:01.690594+00","2025-12-27 20:50:01.690594+00"
261461,6,13,11,260174,"776621.11","2025-12-26 02:20:01.964175+00","2025-12-26 02:20:01.964175+00","2025-12-26 02:20:01.964175+00"
261535,3,23,31,260248,"484184.88","2025-12-26 08:30:01.702013+00","2025-12-26 08:30:01.702013+00","2025-12-26 08:30:01.702013+00"
261609,5,12,48,260322,"315889.39","2025-12-26 14:40:01.466849+00","2025-12-26 14:40:01.466849+00","2025-12-26 14:40:01.466849+00"
261683,8,21,41,260396,"295580.90","2025-12-26 20:50:01.540375+00","2025-12-26 20:50:01.540375+00","2025-12-26 20:50:01.540375+00"
261750,8,24,49,260463,"292114.60","2025-12-27 02:25:01.194545+00","2025-12-27 02:25:01.194545+00","2025-12-27 02:25:01.194545+00"
262039,2,15,38,260751,"332932.46","2025-12-28 02:25:01.91455+00","2025-12-28 02:25:01.91455+00","2025-12-28 02:25:01.91455+00"
262113,5,13,11,260825,"312535.09","2025-12-28 08:35:01.268546+00","2025-12-28 08:35:01.268546+00","2025-12-28 08:35:01.268546+00"
262187,6,5,17,260899,"786944.95","2025-12-28 14:45:01.27434+00","2025-12-28 14:45:01.27434+00","2025-12-28 14:45:01.27434+00"
262261,1,28,6,260973,"246549.13","2025-12-28 20:55:01.310718+00","2025-12-28 20:55:01.310718+00","2025-12-28 20:55:01.310718+00"
262327,7,5,16,261039,"381263.33","2025-12-29 02:25:01.308597+00","2025-12-29 02:25:01.308597+00","2025-12-29 02:25:01.308597+00"
262401,5,3,32,261113,"313143.06","2025-12-29 08:35:01.525867+00","2025-12-29 08:35:01.525867+00","2025-12-29 08:35:01.525867+00"
262475,5,5,18,261186,"314294.48","2025-12-29 14:40:01.669923+00","2025-12-29 14:40:01.669923+00","2025-12-29 14:40:01.669923+00"
262549,4,11,36,261260,"273358.55","2025-12-29 20:50:01.287319+00","2025-12-29 20:50:01.287319+00","2025-12-29 20:50:01.287319+00"
262616,2,20,50,261327,"345215.54","2025-12-30 02:25:01.747069+00","2025-12-30 02:25:01.747069+00","2025-12-30 02:25:01.747069+00"
262690,2,20,50,261401,"333461.10","2025-12-30 08:35:01.401212+00","2025-12-30 08:35:01.401212+00","2025-12-30 08:35:01.401212+00"
262764,8,2,46,261475,"289672.32","2025-12-30 14:45:01.588769+00","2025-12-30 14:45:01.588769+00","2025-12-30 14:45:01.588769+00"
261824,7,6,28,260537,"391145.04","2025-12-27 08:35:01.215635+00","2025-12-27 08:35:01.215635+00","2025-12-27 08:35:01.215635+00"
261898,8,3,32,260611,"289723.98","2025-12-27 14:45:01.658445+00","2025-12-27 14:45:01.658445+00","2025-12-27 14:45:01.658445+00"
261972,3,29,42,260685,"475082.80","2025-12-27 20:55:01.846383+00","2025-12-27 20:55:01.846383+00","2025-12-27 20:55:01.846383+00"
261462,8,19,40,260175,"296377.56","2025-12-26 02:25:01.152151+00","2025-12-26 02:25:01.152151+00","2025-12-26 02:25:01.152151+00"
261536,8,13,12,260249,"293356.70","2025-12-26 08:35:01.885676+00","2025-12-26 08:35:01.885676+00","2025-12-26 08:35:01.885676+00"
261610,4,25,5,260323,"276969.34","2025-12-26 14:45:01.621661+00","2025-12-26 14:45:01.621661+00","2025-12-26 14:45:01.621661+00"
261684,4,28,10,260397,"276636.81","2025-12-26 20:55:01.689198+00","2025-12-26 20:55:01.689198+00","2025-12-26 20:55:01.689198+00"
261751,5,19,40,260464,"315955.76","2025-12-27 02:30:01.214672+00","2025-12-27 02:30:01.214672+00","2025-12-27 02:30:01.214672+00"
262040,7,19,40,260752,"386754.26","2025-12-28 02:30:02.010159+00","2025-12-28 02:30:02.010159+00","2025-12-28 02:30:02.010159+00"
262114,4,13,14,260826,"266640.17","2025-12-28 08:40:01.394106+00","2025-12-28 08:40:01.394106+00","2025-12-28 08:40:01.394106+00"
262188,7,13,14,260900,"394659.69","2025-12-28 14:50:01.408591+00","2025-12-28 14:50:01.408591+00","2025-12-28 14:50:01.408591+00"
262262,2,16,23,260974,"337994.00","2025-12-28 21:00:01.424722+00","2025-12-28 21:00:01.424722+00","2025-12-28 21:00:01.424722+00"
262328,1,16,24,261040,"246334.03","2025-12-29 02:30:01.453182+00","2025-12-29 02:30:01.453182+00","2025-12-29 02:30:01.453182+00"
262402,3,12,48,261114,"488973.76","2025-12-29 08:40:01.680971+00","2025-12-29 08:40:01.680971+00","2025-12-29 08:40:01.680971+00"
262476,4,13,13,261187,"267791.95","2025-12-29 14:45:01.840779+00","2025-12-29 14:45:01.840779+00","2025-12-29 14:45:01.840779+00"
262550,8,2,46,261261,"292669.50","2025-12-29 20:55:01.425217+00","2025-12-29 20:55:01.425217+00","2025-12-29 20:55:01.425217+00"
262617,3,19,40,261328,"487537.26","2025-12-30 02:30:01.816615+00","2025-12-30 02:30:01.816615+00","2025-12-30 02:30:01.816615+00"
262691,5,4,43,261402,"312316.33","2025-12-30 08:40:01.540134+00","2025-12-30 08:40:01.540134+00","2025-12-30 08:40:01.540134+00"
262765,5,13,13,261476,"306844.01","2025-12-30 14:50:01.74519+00","2025-12-30 14:50:01.74519+00","2025-12-30 14:50:01.74519+00"
261825,8,28,8,260538,"292609.18","2025-12-27 08:40:01.340602+00","2025-12-27 08:40:01.340602+00","2025-12-27 08:40:01.340602+00"
261899,7,13,15,260612,"388508.68","2025-12-27 14:50:01.865282+00","2025-12-27 14:50:01.865282+00","2025-12-27 14:50:01.865282+00"
261973,1,5,16,260686,"242424.38","2025-12-27 21:00:02.077224+00","2025-12-27 21:00:02.077224+00","2025-12-27 21:00:02.077224+00"
261463,7,13,13,260176,"385223.55","2025-12-26 02:30:01.283438+00","2025-12-26 02:30:01.283438+00","2025-12-26 02:30:01.283438+00"
261537,2,15,38,260250,"337332.03","2025-12-26 08:40:02.047589+00","2025-12-26 08:40:02.047589+00","2025-12-26 08:40:02.047589+00"
261611,8,29,42,260324,"288675.73","2025-12-26 14:50:01.763057+00","2025-12-26 14:50:01.763057+00","2025-12-26 14:50:01.763057+00"
261685,1,15,38,260398,"244840.75","2025-12-26 21:00:01.855042+00","2025-12-26 21:00:01.855042+00","2025-12-26 21:00:01.855042+00"
261752,4,15,38,260465,"268578.92","2025-12-27 02:35:01.349914+00","2025-12-27 02:35:01.349914+00","2025-12-27 02:35:01.349914+00"
262041,5,25,3,260753,"316427.32","2025-12-28 02:35:01.15414+00","2025-12-28 02:35:01.15414+00","2025-12-28 02:35:01.15414+00"
262115,6,14,45,260827,"776716.85","2025-12-28 08:45:01.524634+00","2025-12-28 08:45:01.524634+00","2025-12-28 08:45:01.524634+00"
262189,2,29,42,260901,"332763.29","2025-12-28 14:55:01.553656+00","2025-12-28 14:55:01.553656+00","2025-12-28 14:55:01.553656+00"
262263,4,5,18,260975,"268277.82","2025-12-28 21:05:01.571073+00","2025-12-28 21:05:01.571073+00","2025-12-28 21:05:01.571073+00"
262329,1,28,10,261041,"244403.82","2025-12-29 02:35:01.611622+00","2025-12-29 02:35:01.611622+00","2025-12-29 02:35:01.611622+00"
262403,8,13,11,261115,"293105.66","2025-12-29 08:45:01.862647+00","2025-12-29 08:45:01.862647+00","2025-12-29 08:45:01.862647+00"
262477,4,28,6,261188,"275128.04","2025-12-29 14:50:02.006657+00","2025-12-29 14:50:02.006657+00","2025-12-29 14:50:02.006657+00"
262551,5,11,36,261262,"314921.49","2025-12-29 21:00:01.563391+00","2025-12-29 21:00:01.563391+00","2025-12-29 21:00:01.563391+00"
262618,2,21,41,261329,"332609.28","2025-12-30 02:35:01.983832+00","2025-12-30 02:35:01.983832+00","2025-12-30 02:35:01.983832+00"
262692,7,18,51,261403,"382862.49","2025-12-30 08:45:01.708173+00","2025-12-30 08:45:01.708173+00","2025-12-30 08:45:01.708173+00"
262766,1,23,31,261477,"238773.14","2025-12-30 14:55:01.899202+00","2025-12-30 14:55:01.899202+00","2025-12-30 14:55:01.899202+00"
261826,6,28,10,260539,"776475.79","2025-12-27 08:45:01.483937+00","2025-12-27 08:45:01.483937+00","2025-12-27 08:45:01.483937+00"
261900,1,16,22,260613,"243674.48","2025-12-27 14:55:02.063109+00","2025-12-27 14:55:02.063109+00","2025-12-27 14:55:02.063109+00"
261974,1,29,42,260687,"239928.61","2025-12-27 21:05:01.24063+00","2025-12-27 21:05:01.24063+00","2025-12-27 21:05:01.24063+00"
261464,5,5,18,260177,"304646.89","2025-12-26 02:35:01.425441+00","2025-12-26 02:35:01.425441+00","2025-12-26 02:35:01.425441+00"
261538,1,5,20,260251,"239155.99","2025-12-26 08:45:01.195574+00","2025-12-26 08:45:01.195574+00","2025-12-26 08:45:01.195574+00"
261612,1,19,40,260325,"242411.05","2025-12-26 14:55:01.918491+00","2025-12-26 14:55:01.918491+00","2025-12-26 14:55:01.918491+00"
261686,8,18,51,260399,"294866.62","2025-12-26 21:05:02.059138+00","2025-12-26 21:05:02.059138+00","2025-12-26 21:05:02.059138+00"
261753,5,16,22,260466,"313434.37","2025-12-27 02:40:01.487331+00","2025-12-27 02:40:01.487331+00","2025-12-27 02:40:01.487331+00"
262042,2,21,41,260754,"343732.80","2025-12-28 02:40:01.286357+00","2025-12-28 02:40:01.286357+00","2025-12-28 02:40:01.286357+00"
262116,4,19,40,260828,"274591.03","2025-12-28 08:50:01.665113+00","2025-12-28 08:50:01.665113+00","2025-12-28 08:50:01.665113+00"
262190,4,4,43,260902,"273320.92","2025-12-28 15:00:01.723613+00","2025-12-28 15:00:01.723613+00","2025-12-28 15:00:01.723613+00"
262264,4,13,15,260976,"271605.10","2025-12-28 21:10:01.707696+00","2025-12-28 21:10:01.707696+00","2025-12-28 21:10:01.707696+00"
262330,7,25,5,261042,"389169.93","2025-12-29 02:40:01.749192+00","2025-12-29 02:40:01.749192+00","2025-12-29 02:40:01.749192+00"
262404,1,28,6,261116,"246356.90","2025-12-29 08:50:02.056646+00","2025-12-29 08:50:02.056646+00","2025-12-29 08:50:02.056646+00"
262478,2,1,33,261189,"345223.05","2025-12-29 14:55:01.157856+00","2025-12-29 14:55:01.157856+00","2025-12-29 14:55:01.157856+00"
262552,6,23,31,261263,"791457.22","2025-12-29 21:05:01.729864+00","2025-12-29 21:05:01.729864+00","2025-12-29 21:05:01.729864+00"
262619,6,15,38,261330,"778790.71","2025-12-30 02:40:01.123174+00","2025-12-30 02:40:01.123174+00","2025-12-30 02:40:01.123174+00"
262693,7,13,14,261404,"381919.87","2025-12-30 08:50:01.853327+00","2025-12-30 08:50:01.853327+00","2025-12-30 08:50:01.853327+00"
262767,8,6,29,261478,"293263.35","2025-12-30 15:00:02.068262+00","2025-12-30 15:00:02.068262+00","2025-12-30 15:00:02.068262+00"
261827,4,16,24,260540,"267901.28","2025-12-27 08:50:01.619957+00","2025-12-27 08:50:01.619957+00","2025-12-27 08:50:01.619957+00"
261901,5,19,40,260614,"307041.58","2025-12-27 15:00:01.204809+00","2025-12-27 15:00:01.204809+00","2025-12-27 15:00:01.204809+00"
261975,4,27,52,260688,"269691.73","2025-12-27 21:10:01.381493+00","2025-12-27 21:10:01.381493+00","2025-12-27 21:10:01.381493+00"
261465,1,14,45,260178,"239556.83","2025-12-26 02:40:01.566292+00","2025-12-26 02:40:01.566292+00","2025-12-26 02:40:01.566292+00"
261539,8,21,41,260252,"290074.75","2025-12-26 08:50:01.341644+00","2025-12-26 08:50:01.341644+00","2025-12-26 08:50:01.341644+00"
261613,4,28,9,260326,"274297.65","2025-12-26 15:00:02.100465+00","2025-12-26 15:00:02.100465+00","2025-12-26 15:00:02.100465+00"
261687,5,28,7,260400,"313955.67","2025-12-26 21:10:01.200302+00","2025-12-26 21:10:01.200302+00","2025-12-26 21:10:01.200302+00"
261754,4,28,10,260467,"277002.17","2025-12-27 02:45:01.661262+00","2025-12-27 02:45:01.661262+00","2025-12-27 02:45:01.661262+00"
262043,1,5,19,260755,"239732.54","2025-12-28 02:45:01.433877+00","2025-12-28 02:45:01.433877+00","2025-12-28 02:45:01.433877+00"
262117,1,27,52,260829,"246924.30","2025-12-28 08:55:01.862762+00","2025-12-28 08:55:01.862762+00","2025-12-28 08:55:01.862762+00"
262191,8,25,2,260903,"285675.13","2025-12-28 15:05:01.890732+00","2025-12-28 15:05:01.890732+00","2025-12-28 15:05:01.890732+00"
262265,5,29,42,260977,"310824.63","2025-12-28 21:15:01.866331+00","2025-12-28 21:15:01.866331+00","2025-12-28 21:15:01.866331+00"
262331,6,26,39,261043,"763639.18","2025-12-29 02:45:01.948694+00","2025-12-29 02:45:01.948694+00","2025-12-29 02:45:01.948694+00"
262405,3,15,38,261117,"493810.80","2025-12-29 08:55:01.221147+00","2025-12-29 08:55:01.221147+00","2025-12-29 08:55:01.221147+00"
262479,8,22,35,261190,"285255.43","2025-12-29 15:00:01.31102+00","2025-12-29 15:00:01.31102+00","2025-12-29 15:00:01.31102+00"
262553,4,7,47,261264,"268489.98","2025-12-29 21:10:01.912443+00","2025-12-29 21:10:01.912443+00","2025-12-29 21:10:01.912443+00"
262620,3,28,9,261331,"479100.90","2025-12-30 02:45:01.252193+00","2025-12-30 02:45:01.252193+00","2025-12-30 02:45:01.252193+00"
262694,8,13,15,261405,"287309.30","2025-12-30 08:55:02.025249+00","2025-12-30 08:55:02.025249+00","2025-12-30 08:55:02.025249+00"
262768,2,25,4,261479,"334926.71","2025-12-30 15:05:01.240816+00","2025-12-30 15:05:01.240816+00","2025-12-30 15:05:01.240816+00"
261828,1,27,52,260541,"247006.56","2025-12-27 08:55:01.814874+00","2025-12-27 08:55:01.814874+00","2025-12-27 08:55:01.814874+00"
261902,8,28,10,260615,"286793.55","2025-12-27 15:05:01.35565+00","2025-12-27 15:05:01.35565+00","2025-12-27 15:05:01.35565+00"
261976,2,28,6,260689,"336153.93","2025-12-27 21:15:01.528934+00","2025-12-27 21:15:01.528934+00","2025-12-27 21:15:01.528934+00"
261466,8,24,49,260179,"291073.23","2025-12-26 02:45:01.719494+00","2025-12-26 02:45:01.719494+00","2025-12-26 02:45:01.719494+00"
261540,3,10,44,260253,"477723.18","2025-12-26 08:55:01.485121+00","2025-12-26 08:55:01.485121+00","2025-12-26 08:55:01.485121+00"
261614,7,25,1,260327,"395880.67","2025-12-26 15:05:01.242648+00","2025-12-26 15:05:01.242648+00","2025-12-26 15:05:01.242648+00"
261688,2,1,33,260401,"344371.50","2025-12-26 21:15:01.34717+00","2025-12-26 21:15:01.34717+00","2025-12-26 21:15:01.34717+00"
261755,3,24,49,260468,"485297.05","2025-12-27 02:50:01.814805+00","2025-12-27 02:50:01.814805+00","2025-12-27 02:50:01.814805+00"
262044,8,19,40,260756,"286377.70","2025-12-28 02:50:01.57254+00","2025-12-28 02:50:01.57254+00","2025-12-28 02:50:01.57254+00"
262118,6,6,29,260830,"784661.13","2025-12-28 09:00:02.045858+00","2025-12-28 09:00:02.045858+00","2025-12-28 09:00:02.045858+00"
262192,8,13,11,260904,"292990.65","2025-12-28 15:10:02.053411+00","2025-12-28 15:10:02.053411+00","2025-12-28 15:10:02.053411+00"
262266,3,26,39,260978,"476703.31","2025-12-28 21:20:02.033021+00","2025-12-28 21:20:02.033021+00","2025-12-28 21:20:02.033021+00"
262332,4,7,47,261044,"267932.94","2025-12-29 02:50:02.129251+00","2025-12-29 02:50:02.129251+00","2025-12-29 02:50:02.129251+00"
262406,5,19,40,261118,"310268.57","2025-12-29 09:00:01.379566+00","2025-12-29 09:00:01.379566+00","2025-12-29 09:00:01.379566+00"
262480,6,10,44,261191,"781180.97","2025-12-29 15:05:01.44953+00","2025-12-29 15:05:01.44953+00","2025-12-29 15:05:01.44953+00"
262554,8,24,49,261265,"292511.07","2025-12-29 21:15:02.087648+00","2025-12-29 21:15:02.087648+00","2025-12-29 21:15:02.087648+00"
262621,1,8,53,261332,"239101.32","2025-12-30 02:50:01.39123+00","2025-12-30 02:50:01.39123+00","2025-12-30 02:50:01.39123+00"
262695,5,20,50,261406,"316479.15","2025-12-30 09:00:01.148321+00","2025-12-30 09:00:01.148321+00","2025-12-30 09:00:01.148321+00"
261829,2,6,29,260542,"337106.38","2025-12-27 09:00:01.982485+00","2025-12-27 09:00:01.982485+00","2025-12-27 09:00:01.982485+00"
261903,7,26,39,260616,"394023.17","2025-12-27 15:10:01.506134+00","2025-12-27 15:10:01.506134+00","2025-12-27 15:10:01.506134+00"
261977,4,6,29,260690,"268902.67","2025-12-27 21:20:01.656526+00","2025-12-27 21:20:01.656526+00","2025-12-27 21:20:01.656526+00"
261467,8,1,33,260180,"286291.37","2025-12-26 02:50:01.876812+00","2025-12-26 02:50:01.876812+00","2025-12-26 02:50:01.876812+00"
261541,1,3,32,260254,"245110.15","2025-12-26 09:00:01.637223+00","2025-12-26 09:00:01.637223+00","2025-12-26 09:00:01.637223+00"
261615,4,21,41,260328,"266362.80","2025-12-26 15:10:01.378423+00","2025-12-26 15:10:01.378423+00","2025-12-26 15:10:01.378423+00"
261689,4,6,30,260402,"270475.34","2025-12-26 21:20:01.698731+00","2025-12-26 21:20:01.698731+00","2025-12-26 21:20:01.698731+00"
261756,2,3,32,260469,"337161.25","2025-12-27 02:55:02.03048+00","2025-12-27 02:55:02.03048+00","2025-12-27 02:55:02.03048+00"
